periodo_fecha;inflacion_mensual;inflacion_acumulada
01/01/2015;1;1.01
01/02/2015;1.1;1.02
01/03/2015;0.9;1.03
01/04/2015;1.3;1.04
01/05/2015;1.1;1.06
01/06/2015;1;1.07
01/07/2015;1;1.08
01/08/2015;1.3;1.09
01/09/2015;1.2;1.10
01/10/2015;1.2;1.12
01/11/2015;1.1;1.13
01/12/2015;2;1.15
01/01/2016;3.9;1.20
01/02/2016;4.1;1.25
01/03/2016;2.7;1.28
01/04/2016;3;1.32
01/05/2016;3.4;1.36
01/06/2016;4.2;1.42
01/07/2016;3.1;1.46
01/08/2016;2;1.49
01/09/2016;0.2;1.50
01/10/2016;1.1;1.51
01/11/2016;2.4;1.55
01/12/2016;1.6;1.57
01/01/2017;1.2;1.59
01/02/2017;1.3;1.61
01/03/2017;2.5;1.65
01/04/2017;2.4;1.69
01/05/2017;2.6;1.74
01/06/2017;1.3;1.76
01/07/2017;1.2;1.78
01/08/2017;1.7;1.81
01/09/2017;1.4;1.84
01/10/2017;1.9;1.87
01/11/2017;1.5;1.90
01/12/2017;1.4;1.93
01/01/2018;3.1;1.99
01/02/2018;1.8;2.02
01/03/2018;2.4;2.07
01/04/2018;2.3;2.12
01/05/2018;2.7;2.17
01/06/2018;2.1;2.22
01/07/2018;3.7;2.30
01/08/2018;3.1;2.37
01/09/2018;3.9;2.47
01/10/2018;6.5;2.63
01/11/2018;5.4;2.77
01/12/2018;3.2;2.86
01/01/2019;2.6;2.93
01/02/2019;2.9;3.02
01/03/2019;3.8;3.13
01/04/2019;4.7;3.28
01/05/2019;3.4;3.39
01/06/2019;3.1;3.49
01/07/2019;2.7;3.59
01/08/2019;2.2;3.67
01/09/2019;4;3.81
01/10/2019;5.9;4.04
01/11/2019;3.3;4.17
01/12/2019;4.3;4.35
01/01/2020;3.7;4.51
01/02/2020;2.3;4.62
01/03/2020;2;4.71
01/04/2020;3.3;4.87
01/05/2020;1.5;4.94
01/06/2020;1.5;5.01
01/07/2020;2.2;5.12
01/08/2020;1.9;5.22
01/09/2020;2.7;5.36
01/10/2020;2.8;5.51
01/11/2020;3.8;5.72
01/12/2020;3.2;5.90
01/01/2021;4;6.14
01/02/2021;4;6.38
01/03/2021;3.6;6.61
01/04/2021;4.8;6.93
01/05/2021;4.1;7.22
01/06/2021;3.3;7.45
01/07/2021;3.2;7.69
01/08/2021;3;7.92
01/09/2021;2.5;8.12
01/10/2021;3.5;8.41
01/11/2021;3.5;8.70
01/12/2021;2.5;8.92
01/01/2022;3.8;9.26
01/02/2022;3.9;9.62
01/03/2022;4.7;10.07
01/04/2022;6.7;10.74
01/05/2022;6;11.39
01/06/2022;5.1;11.97
01/07/2022;5.3;12.60
01/08/2022;7.4;13.54
01/09/2022;7;14.49
01/10/2022;6.2;15.38
01/11/2022;6.3;16.35
01/12/2022;4.9;17.15
